probability,day_of_week,hour,days_to_deliver,delivery_distance
LOW,3,21,4,286.4921423
MEDIUM,3,21,2,202.6928128
LOW,3,21,4,508.5580373
MEDIUM,3,21,3,273.5421298
LOW,3,21,4,434.8035084
LOW,3,21,5,462.0684059
LOW,3,21,6,805.4849347
LOW,3,21,6,582.7094755
LOW,3,21,4,483.5316342
LOW,3,21,5,450.1503038
LOW,3,21,6,616.9116797
LOW,3,21,5,690.8417979
MEDIUM,3,21,3,261.4124407
LOW,3,21,6,843.3311284
LOW,3,21,5,495.3075459
LOW,3,21,4,362.9713901
LOW,3,21,5,424.5127479
LOW,3,21,5,572.3349325
MEDIUM,3,21,2,187.4203604
MEDIUM,3,21,3,375.4431873
MEDIUM,3,21,2,209.5064297
MEDIUM,3,21,3,317.1787961
MEDIUM,3,21,2,238.6137124
MEDIUM,3,21,3,295.9091979
LOW,3,21,6,629.7319043
MEDIUM,3,21,2,160.7019329
MEDIUM,3,21,2,171.8918814
HIGH,3,21,6,584.9391723
LOW,3,21,6,808.9805337
MEDIUM,3,21,3,313.2020753
MEDIUM,3,21,3,198.2764577
LOW,3,21,4,387.9804763
LOW,3,21,4,454.5910162
LOW,3,21,4,377.4838445
MEDIUM,3,21,2,255.6502749
MEDIUM,3,21,3,395.9179488
LOW,3,21,4,376.5224679
LOW,3,21,5,461.9118137
LOW,3,21,5,464.6645414
LOW,3,21,5,505.9957279
LOW,3,21,5,703.8170896
LOW,3,21,6,554.2028295
MEDIUM,3,21,3,215.0183532
MEDIUM,3,21,3,229.1790303
LOW,3,21,4,387.4551748
LOW,3,21,5,448.104493
LOW,3,21,5,617.4112004
LOW,3,21,6,696.8994483
MEDIUM,3,21,2,274.9273418
LOW,3,21,6,570.857943
LOW,3,21,6,670.2093855
LOW,3,21,4,390.178327
LOW,3,21,4,317.4686537
MEDIUM,3,21,2,279.5184949
LOW,3,21,6,788.8877774
LOW,3,21,5,425.7671702
MEDIUM,3,21,2,265.676807
LOW,3,21,6,600.6069058
HIGH,3,21,4,473.0084137
LOW,3,21,4,428.4267118
LOW,3,21,6,579.5141061
LOW,3,21,5,658.7350276
LOW,3,21,5,419.3089532
MEDIUM,3,21,2,251.9672047
LOW,3,21,5,448.7884685
MEDIUM,3,21,2,218.5545029
LOW,3,21,5,538.1430467
MEDIUM,3,21,3,495.6377366
HIGH,3,21,6,559.5353153
LOW,3,21,6,440.0338093
MEDIUM,3,21,2,216.2695333
LOW,3,21,4,486.0844978
LOW,3,21,5,547.666645
LOW,3,21,6,596.6747802
LOW,3,21,5,596.0294323
LOW,3,21,5,404.574573
MEDIUM,3,21,2,223.8279006
LOW,3,21,6,484.5882803
MEDIUM,3,21,3,195.1716507
LOW,3,21,6,606.631777
LOW,3,21,4,422.2247058
LOW,3,21,5,576.9714323
MEDIUM,3,21,2,179.8417543
LOW,3,21,5,428.5176266
LOW,3,21,5,456.040933
MEDIUM,3,21,3,280.0557134
LOW,3,21,6,591.2073302
MEDIUM,3,21,3,305.3258394
LOW,3,21,4,499.7889486
LOW,3,21,4,445.5014004
MEDIUM,3,21,6,634.1334376
MEDIUM,3,21,3,344.4291527
MEDIUM,3,21,3,360.0804855
MEDIUM,3,21,3,374.2343513
MEDIUM,3,21,2,165.1992021
MEDIUM,3,21,3,342.4923407
MEDIUM,3,21,2,183.3615365
LOW,3,21,4,415.0081515
LOW,3,21,4,390.1978651
LOW,3,21,5,573.9262133
MEDIUM,3,21,6,412.184503
LOW,3,21,4,498.070724
LOW,3,21,5,559.2075055
MEDIUM,3,21,2,208.7149778
HIGH,3,21,5,513.8090277
LOW,3,21,5,646.0224186
HIGH,3,21,6,466.4049222
LOW,3,21,4,448.0299149
LOW,3,21,5,599.7735227
MEDIUM,3,21,3,293.279705
MEDIUM,3,21,2,252.8109701
LOW,3,21,6,614.4153662
LOW,3,21,5,271.4796665
LOW,3,21,4,219.8102479
LOW,3,21,4,303.0651057
MEDIUM,3,21,2,257.6269639
MEDIUM,3,21,3,267.4587226
LOW,3,21,4,414.3179933
MEDIUM,3,21,3,407.0944439
LOW,3,21,5,542.5007421
MEDIUM,3,21,2,196.2484892
LOW,3,21,6,592.6662159
LOW,3,21,6,802.4196395
LOW,3,21,6,623.1246341
LOW,3,21,4,327.9574877
LOW,3,21,5,449.9436673
MEDIUM,3,21,2,244.0347717
MEDIUM,3,21,3,256.3527353
LOW,3,21,6,557.6947983
MEDIUM,3,21,3,299.7939454
LOW,3,21,5,529.7321243
LOW,3,21,6,686.7207892
LOW,3,21,6,501.2713303
LOW,3,21,6,577.4756931
LOW,3,21,6,307.7612601
LOW,3,21,4,375.2644158
MEDIUM,3,21,2,242.5001794
LOW,3,21,4,464.6823607
LOW,3,21,5,583.8880525
LOW,3,21,4,521.5415433
LOW,3,21,4,458.613609
MEDIUM,3,21,2,160.9086745
MEDIUM,3,21,3,299.6593734
MEDIUM,3,21,5,543.9337169
HIGH,3,21,5,411.6471683
MEDIUM,3,21,2,233.421926
MEDIUM,3,21,2,158.4728505
LOW,3,21,4,433.2354414
MEDIUM,3,21,3,339.5761549
LOW,3,21,4,442.4299752
MEDIUM,3,21,2,165.6374554
LOW,3,21,5,533.5048157
LOW,3,21,6,800.9983805
MEDIUM,3,21,3,200.6893038
LOW,3,21,6,634.5229815
LOW,3,21,6,414.7839635
MEDIUM,3,21,2,132.3874878
LOW,3,21,6,711.3795708
LOW,3,21,4,501.4966492
LOW,3,21,6,630.6998206
MEDIUM,3,21,3,372.3529759
MEDIUM,3,21,5,424.7791125
LOW,3,21,5,380.2360102
LOW,3,21,4,384.2107396
MEDIUM,3,21,3,230.4135265
LOW,3,21,5,408.1149696
HIGH,3,21,5,581.0089683
MEDIUM,3,21,2,159.9323564
LOW,3,21,5,616.0549684
LOW,3,21,6,512.3389239
MEDIUM,3,21,3,324.6585072
LOW,3,21,5,455.6443456
MEDIUM,3,21,3,310.1574116
LOW,3,21,4,391.9046071
LOW,3,21,6,421.3776003
LOW,3,21,6,546.761361
MEDIUM,3,21,3,246.8244603
LOW,3,21,4,417.5124403
MEDIUM,3,13,3,296.7628692
LOW,3,13,6,465.5351508
MEDIUM,3,13,4,414.7021582
MEDIUM,3,9,4,455.2454194
LOW,3,9,6,515.2992901
HIGH,3,9,2,263.3000563
MEDIUM,3,9,4,460.0462231
LOW,3,9,5,310.4377709
MEDIUM,3,9,4,273.2091282
MEDIUM,3,9,4,377.4185586
LOW,3,9,5,559.5277695
MEDIUM,3,9,4,309.0747497
MEDIUM,3,9,4,366.1092187
LOW,3,9,6,699.8938098
MEDIUM,3,9,3,255.3606855
MEDIUM,3,9,3,417.7189711
MEDIUM,3,9,3,392.6529465
MEDIUM,3,9,4,476.8989702
HIGH,3,9,4,433.3815816
MEDIUM,3,9,3,316.1148025
MEDIUM,3,9,4,361.2940268
LOW,3,9,6,795.9554528
LOW,3,9,5,463.6055916
LOW,3,9,6,611.5205178
HIGH,3,9,2,221.3482648
LOW,3,9,5,506.0448756
MEDIUM,3,9,4,494.3102519
MEDIUM,3,9,5,437.4525571
MEDIUM,3,9,3,319.5864728
MEDIUM,3,9,2,216.9905487
MEDIUM,3,9,3,328.47325
MEDIUM,3,9,4,409.5451229
LOW,3,9,6,607.6129004
MEDIUM,3,9,6,546.3066662
LOW,3,9,5,547.8192939
HIGH,3,9,2,229.1119684
MEDIUM,3,9,3,275.4376993
MEDIUM,3,9,3,265.7372927
MEDIUM,3,9,4,458.9118353
LOW,3,9,5,461.211007
MEDIUM,3,13,3,287.804421
MEDIUM,3,13,3,319.6155554
MEDIUM,3,13,3,254.5358504
LOW,3,13,6,173.7851059
LOW,3,13,5,504.0038318
LOW,3,13,5,687.0415639
MEDIUM,3,13,4,475.0145792
MEDIUM,3,13,3,379.7717787
LOW,3,13,6,490.766988
LOW,3,13,5,717.8476982
HIGH,3,13,4,240.0721795
LOW,3,13,6,668.6719429
MEDIUM,3,13,3,320.6658591
MEDIUM,3,13,3,327.133602
MEDIUM,3,13,4,479.2182701
MEDIUM,3,13,3,387.8782639
MEDIUM,3,13,4,459.3203441
MEDIUM,3,13,4,266.0085388
MEDIUM,3,13,3,468.7449803
HIGH,3,13,2,189.1853924
LOW,3,13,6,521.1965181
LOW,3,13,6,729.9091719
LOW,3,13,5,509.7206358
LOW,3,13,5,626.0384224
HIGH,3,13,2,267.8555594
LOW,3,13,5,571.4993134
LOW,3,13,6,694.2347154
MEDIUM,3,13,3,361.9828704
MEDIUM,3,13,3,378.6046624
MEDIUM,3,13,2,207.615032
HIGH,3,13,2,204.6520159
LOW,3,13,6,715.8564448
LOW,3,13,5,737.7868481
HIGH,3,13,2,197.7607409
MEDIUM,2,22,4,468.2031144
MEDIUM,2,22,2,159.0237451
LOW,2,22,5,601.290379
LOW,2,22,5,415.9899709
MEDIUM,2,22,2,207.5554901
LOW,2,22,5,632.0299543
LOW,2,22,6,668.4035418
MEDIUM,2,22,3,313.3215646
LOW,2,22,4,398.1156174
LOW,2,22,5,496.2574386
MEDIUM,2,22,2,176.1890568
LOW,2,22,6,512.2712663
LOW,2,22,6,791.1011185
LOW,2,22,4,454.4122403
LOW,2,22,5,558.5646636
HIGH,2,22,4,361.7631013
MEDIUM,3,2,5,360.6392618
LOW,3,2,6,815.9062522
LOW,3,2,4,449.6161532
LOW,3,2,4,440.8056763
MEDIUM,3,2,3,240.4830992
MEDIUM,3,2,5,536.4627879
MEDIUM,3,2,3,246.0014572
LOW,3,2,5,206.8198053
LOW,3,2,5,520.5348037
MEDIUM,3,2,3,316.2100805
MEDIUM,3,21,2,244.2872301
LOW,3,21,6,656.1158528
LOW,3,21,5,378.7412228
MEDIUM,3,21,3,236.4985895
LOW,3,21,6,466.2912349
LOW,3,21,5,395.6313864
MEDIUM,3,21,3,361.6545732
LOW,3,21,4,436.9777916
MEDIUM,3,21,3,397.4550353
LOW,3,21,5,347.0988558
LOW,3,21,4,567.7455316
LOW,3,21,6,836.6490649
LOW,3,21,5,473.9417386
MEDIUM,3,21,3,447.5386084
LOW,3,21,4,473.0485385
MEDIUM,3,21,2,187.5816542
LOW,3,21,6,546.2525213
MEDIUM,3,21,3,321.0466838
LOW,3,21,5,433.8811762
LOW,3,21,5,416.9382149
LOW,3,21,4,496.4100373
MEDIUM,3,21,6,372.8544075
MEDIUM,3,21,2,155.6074348
LOW,3,21,5,377.3402117
MEDIUM,3,21,3,286.6178411
LOW,3,21,4,286.9094514
MEDIUM,3,21,3,240.9911263
LOW,3,21,4,372.1343233
MEDIUM,3,21,2,244.101827
LOW,3,21,6,528.9403048
MEDIUM,3,21,2,256.1921856
LOW,3,21,6,330.477954
MEDIUM,3,21,6,448.4064982
MEDIUM,3,21,3,293.5051022
LOW,3,21,4,448.6131898
MEDIUM,3,21,2,260.3019312
LOW,3,2,5,524.6730293
LOW,3,2,6,687.7920202
LOW,3,2,5,342.0818881
LOW,3,2,6,548.2598343
MEDIUM,3,2,3,460.5782495
LOW,3,2,5,692.1094599
MEDIUM,3,2,2,226.0584939
MEDIUM,3,2,2,254.8822338
HIGH,3,2,2,202.758946
LOW,3,2,4,370.5180112
MEDIUM,3,2,3,212.9574799
LOW,3,2,6,772.5864543
LOW,3,2,5,716.9191934
HIGH,3,2,3,335.0935715
MEDIUM,3,2,3,354.3740639
LOW,3,2,6,531.2714673
MEDIUM,3,2,3,238.2579181
LOW,3,2,4,400.2028293
LOW,3,2,6,589.3400797
LOW,3,2,4,301.8514021
MEDIUM,3,2,5,473.1124287
LOW,3,2,4,462.6669872
MEDIUM,3,2,3,325.8474588
LOW,3,2,4,327.7254011
LOW,3,2,6,495.7913369
MEDIUM,3,2,3,201.3028177
MEDIUM,3,2,2,223.7473986
MEDIUM,3,2,3,419.9985869
LOW,3,2,4,464.7372022
LOW,3,2,6,557.6823302
LOW,3,2,5,508.5206261
LOW,3,2,4,330.5262551
LOW,3,2,5,547.2755068
MEDIUM,3,2,4,401.6400939
LOW,3,2,5,592.5205239
MEDIUM,3,2,3,340.4840276
LOW,3,2,6,402.929087
HIGH,3,2,3,442.06493
LOW,3,2,6,831.8760768
MEDIUM,3,2,2,180.2145909
LOW,3,2,6,715.8612431
MEDIUM,3,2,2,240.0823134
LOW,3,2,5,466.4907848
MEDIUM,3,2,3,410.3217505
MEDIUM,3,2,2,205.0352907
MEDIUM,3,2,2,172.0805552
MEDIUM,3,2,3,438.5917163
LOW,3,2,5,669.6021826
LOW,3,10,6,601.1637412
MEDIUM,3,10,3,213.9388267
MEDIUM,3,10,3,414.7610296
MEDIUM,3,10,4,452.1903606
HIGH,3,10,2,155.1199493
LOW,3,10,6,641.8950522
HIGH,3,10,2,247.2242112
MEDIUM,3,10,4,441.4633315
MEDIUM,3,10,3,214.4674557
LOW,3,10,6,658.5892538
MEDIUM,3,10,3,362.009914
MEDIUM,3,10,3,370.700695
MEDIUM,3,10,6,471.116454
LOW,3,10,6,749.918794
MEDIUM,3,10,3,348.2529227
LOW,3,10,6,576.6649711
LOW,3,10,5,645.6431326
LOW,3,10,6,666.8486234
LOW,3,10,6,481.0529491
MEDIUM,3,10,4,477.1671091
HIGH,3,10,2,209.7248766
MEDIUM,3,10,3,227.8561234
LOW,3,10,5,465.6011678
HIGH,3,10,2,202.8694396
MEDIUM,3,6,4,480.1710871
MEDIUM,3,6,4,401.0348623
MEDIUM,3,6,3,422.6850639
MEDIUM,3,6,2,152.1994386
LOW,3,6,5,399.8799611
LOW,3,6,6,400.9085316
MEDIUM,3,6,4,501.8571782
LOW,3,6,6,755.7027839
LOW,3,6,5,557.9708444
LOW,3,6,5,644.9590756
LOW,3,6,5,407.801769
MEDIUM,3,6,3,211.606802
LOW,3,6,6,757.7097517
LOW,3,6,6,742.542888
MEDIUM,3,6,4,428.6518105
MEDIUM,3,6,3,372.2287788
MEDIUM,3,6,3,356.6799159
MEDIUM,3,6,3,388.9363293
MEDIUM,3,6,4,326.0095709
MEDIUM,3,6,3,363.541845
HIGH,3,6,2,186.0220522
MEDIUM,3,6,4,522.4118233
MEDIUM,3,6,4,304.5341157
MEDIUM,3,6,2,224.1913182
MEDIUM,3,6,3,418.6131035
LOW,3,6,5,426.0084988
MEDIUM,3,6,3,415.9140632
HIGH,3,6,5,638.534777
LOW,3,6,6,573.9641115
MEDIUM,3,6,4,382.2424767
LOW,3,6,5,479.7379795
MEDIUM,3,6,2,274.0046427
HIGH,3,6,2,264.4910679
MEDIUM,3,6,2,203.2907409
LOW,3,6,6,649.9766988
LOW,3,6,5,579.6369643
MEDIUM,3,6,4,355.1992407
LOW,3,6,6,773.1317665
HIGH,2,15,2,202.7484133
MEDIUM,2,15,3,316.8825512
LOW,2,15,6,398.9140585
LOW,2,15,6,591.4671498
LOW,2,15,5,496.6745027
HIGH,2,15,2,290.7616774
MEDIUM,2,15,3,250.4127024
LOW,2,15,5,410.0521966
MEDIUM,2,15,3,224.8125876
HIGH,2,15,2,259.5124038
LOW,2,15,5,504.005974
MEDIUM,2,15,4,308.0838052
LOW,2,15,6,609.5469452
HIGH,2,15,2,138.9718834
MEDIUM,2,15,4,312.4403968
HIGH,2,15,4,498.0932426
LOW,2,15,6,623.9556003
MEDIUM,2,15,4,431.5425205
MEDIUM,2,15,4,360.871741
HIGH,2,15,2,152.940544
MEDIUM,2,15,3,398.6822902
MEDIUM,2,15,3,372.3808343
LOW,2,15,6,662.5279369
HIGH,2,15,2,188.8134623
HIGH,2,15,2,208.293592
MEDIUM,2,15,4,494.1668945
MEDIUM,2,15,3,246.4102249
LOW,2,15,6,826.6914627
HIGH,2,15,2,296.9178964
LOW,2,15,5,372.8348031
HIGH,2,15,2,242.6320388
LOW,2,15,6,497.1845606
LOW,3,10,6,499.0959559
LOW,3,10,5,542.9573486
MEDIUM,3,10,3,290.432972
HIGH,3,10,2,232.5550265
HIGH,3,10,2,193.7332101
MEDIUM,3,10,4,499.487157
HIGH,3,10,2,183.2657932
LOW,3,10,5,403.6379721
LOW,3,10,6,549.7316489
MEDIUM,3,10,4,288.9562652
MEDIUM,3,10,4,425.7262498
LOW,3,10,5,592.0006857
MEDIUM,3,10,5,492.5973257
HIGH,3,10,2,212.2394714
LOW,3,10,6,462.1356202
HIGH,3,10,2,216.1502796
HIGH,3,10,2,162.2084536
LOW,3,21,4,497.7383186
LOW,3,21,6,569.1102347
LOW,3,21,5,649.6433549
LOW,3,21,6,661.5956094
LOW,3,21,4,373.0896132
LOW,3,21,6,539.2042055
HIGH,3,21,6,633.9002403
LOW,3,21,5,468.8406121
LOW,3,21,4,414.5062053
LOW,3,21,5,672.2572182
MEDIUM,3,21,2,163.0964501
LOW,3,21,6,556.782883
MEDIUM,3,21,2,240.2964848
LOW,3,21,4,282.59779
LOW,3,21,4,497.8398507
MEDIUM,3,21,2,132.1442089
MEDIUM,3,21,2,210.7431807
LOW,3,21,5,566.911383
LOW,3,21,5,570.5041915
MEDIUM,3,21,2,288.9408018
MEDIUM,3,21,2,140.8234096
MEDIUM,3,21,2,274.9602583
LOW,3,21,5,538.8204014
MEDIUM,3,21,3,333.5832818
MEDIUM,3,21,4,529.5686448
LOW,3,21,6,740.5684008
MEDIUM,3,21,2,256.7123733
MEDIUM,3,21,2,236.4622217
MEDIUM,3,21,2,158.661775
LOW,3,21,4,277.6714644
MEDIUM,3,21,3,349.0687452
MEDIUM,3,21,3,227.2396029
HIGH,3,21,2,235.854277
HIGH,3,21,4,358.6394022
MEDIUM,3,21,2,197.270754
LOW,3,21,5,583.3678595
MEDIUM,3,21,3,350.1734876
MEDIUM,3,21,3,376.8122088
LOW,3,21,5,577.9533492
HIGH,3,21,4,407.4143935
MEDIUM,3,21,2,175.9824547
HIGH,3,21,2,124.3231186
LOW,3,21,6,715.3186337
MEDIUM,3,21,2,203.8342285
LOW,3,21,4,570.1073834
LOW,3,21,6,709.8373704
LOW,3,21,5,588.6086019
LOW,3,21,5,465.1214982
LOW,3,21,4,399.8416109
MEDIUM,3,21,2,175.3297489
MEDIUM,3,21,3,387.3680562
MEDIUM,3,21,3,392.8641106
LOW,3,21,5,600.8777276
MEDIUM,3,21,3,323.3163334
LOW,3,21,5,628.67253
HIGH,3,21,2,306.6496085
HIGH,3,21,5,391.6937858
LOW,3,21,6,855.386533
LOW,3,21,6,756.1552468
LOW,3,21,6,439.5713779
LOW,3,21,4,420.5765221
LOW,3,21,6,502.7819417
LOW,3,21,5,388.3147971
HIGH,3,21,2,314.2920587
LOW,3,21,5,614.2931557
LOW,3,21,5,459.0180501
LOW,3,21,6,509.3236642
LOW,3,21,6,480.9232159
MEDIUM,3,21,2,239.0505912
LOW,3,21,6,576.7960715
LOW,3,21,4,396.1698241
LOW,3,21,4,360.3360478
MEDIUM,3,21,3,288.973389
LOW,3,21,6,615.0861956
MEDIUM,3,21,3,289.2589904
LOW,3,21,5,462.3687672
MEDIUM,3,21,2,161.9291921
MEDIUM,3,21,3,357.5305165
LOW,3,21,4,337.1806603
LOW,3,21,4,557.0605082
LOW,3,21,5,474.7947043
MEDIUM,3,21,3,368.4650791
LOW,3,21,4,309.6839264
LOW,3,21,6,753.5457415
LOW,3,21,4,315.2340395
MEDIUM,3,21,2,195.0385893
MEDIUM,3,21,3,267.0475393
LOW,3,21,4,386.8653014
MEDIUM,3,21,3,294.3715003
LOW,3,21,6,457.6301718
LOW,3,21,4,337.4831267
MEDIUM,3,9,3,284.9729
MEDIUM,3,9,4,527.9516434
LOW,3,9,6,620.8355659
HIGH,3,9,3,321.173522
HIGH,3,9,2,225.8680575
HIGH,3,10,2,262.4744663
HIGH,3,10,2,186.1998541
LOW,3,10,6,722.665159
MEDIUM,3,10,4,291.6284966
LOW,3,10,5,565.1211295
MEDIUM,3,10,4,307.3400335
LOW,3,10,5,363.543438
MEDIUM,3,10,3,209.9898987
MEDIUM,3,10,4,411.6120697
LOW,3,10,6,547.6356108
MEDIUM,3,10,4,520.1461859
LOW,3,10,5,430.4221254
MEDIUM,3,10,5,590.2412925
HIGH,3,10,2,146.1946208
HIGH,3,13,2,164.0334606
MEDIUM,3,13,4,372.1754171
LOW,3,13,5,480.6663789
LOW,3,13,6,681.3521648
MEDIUM,3,13,3,253.984847
LOW,3,13,5,575.6983223
MEDIUM,3,13,4,303.2616569
MEDIUM,3,13,4,528.0033119
LOW,3,13,5,338.8720129
LOW,3,13,5,676.7453925
MEDIUM,3,13,3,299.8948207
LOW,3,13,6,532.348617
HIGH,3,13,2,210.2461133
MEDIUM,3,13,4,279.5550903
MEDIUM,3,13,4,335.3696448
HIGH,3,13,2,282.7120329
LOW,3,13,5,524.7642223
HIGH,3,13,2,233.7139453
LOW,3,13,5,514.0966937
MEDIUM,3,13,3,271.5237817
LOW,3,13,6,678.9071426
HIGH,3,13,2,244.551586
MEDIUM,3,13,3,291.629859
MEDIUM,3,13,5,342.3406269
MEDIUM,3,13,4,408.9109945
HIGH,3,13,2,169.8329461
HIGH,3,13,2,192.3362616
HIGH,3,13,2,198.0885133
LOW,3,13,6,743.6274238
