distribution_substation_id,pole_id,name_sd,swer_num_z,phase_colour_cd,status_cd,operating_level_cd,ue_owned_yn,other_db_supply_yn,csc_code_z,type_cd,engineering_analysis_load_kw,maximum_demand_amps_lct,maximum_demand_install_capacity_kva,maximum_demand_kw,maximum_demand_thermal_rating_kva,power_factor_pf,sap_id,gis_id,location_pt,install_date_dt,construction_date_dt,cmen_area_yn,earth_type_cd,changed_on_ts,created_on_ts,effective_from_ts,effective_to_ts,is_deleted_yn,bush_fire_risk_rating_cd
798,,SUNNYSIDE ROYSTON,0,RWB,in service,distribution,Y,N,11,single pole,0.000,101.69,200.000,63.969,300.000,0.9080,DS-000049401313,49401313,"",1996-09-19,1958-01-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:39+10,9999-12-31 23:59:59+11,N,HBRA
6740,,MOOROODUC 1N TYABB MTN,0,RWB,in service,distribution,Y,N,11,single pole,0.000,102.85,100.000,63.490,118.750,0.8910,DS-000118929156,118929156,"",2002-07-17,2001-07-01,N,,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:19+10,9999-12-31 23:59:59+11,N,HBRA
1638,,HOMEMAKER BUNGOWER,0,RWB,in service,distribution,Y,N,11,indoor,0.000,734.66,2000.000,453.510,2062.500,0.8910,DS-000121379482,121379482,"",2004-06-25,2003-06-01,Y,,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:42:58+11,9999-12-31 23:59:59+11,N,LBRA
7642,,NEPEAN 1S COBB,0,RWB,in service,distribution,Y,N,11,single pole,0.000,54.87,100.000,34.478,150.000,0.9070,DS-000120600789,120600789,"",2003-09-01,2002-09-01,Y,,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:25:11+10,9999-12-31 23:59:59+11,N,HBRA
6324,,BRIGHTWELL MOOROODUC,0,RWB,in service,distribution,Y,N,11,single pole,0.000,26.58,63.000,16.740,94.500,0.9090,DS-000109213926,109213926,"",1998-03-27,1997-03-01,N,separate HV and LV,2022-12-16 02:48:29+11,2022-12-16 02:48:29+11,2022-12-15 20:15:50+11,9999-12-31 23:59:59+11,N,HBRA
1011,,ROBERTS L2 MTN TYABB,0,RW,in service,distribution,Y,N,11,single pole,0.000,13.29,10.000,8.376,15.000,0.9100,DS-000049412921,49412921,"",1996-09-19,1984-11-01,N,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:49+11,9999-12-31 23:59:59+11,N,HBRA
1431,,SUNNYSIDE 2 NEPEAN,0,RWB,in service,distribution,Y,N,11,single pole,0.000,85.89,100.000,52.960,145.310,0.8900,DS-000049401319,49401319,"",1996-09-19,1932-06-01,N,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:48+11,9999-12-31 23:59:59+11,N,HBRA
8169,,MOOROODUC 2N TYAB MTN,0,RWB,in service,distribution,Y,N,11,single pole,0.000,25.96,100.000,16.583,150.000,0.9220,DS-000050559290,50559290,"",1996-09-19,1951-01-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:23:29+10,9999-12-31 23:59:59+11,N,HBRA
8264,,SHOTTON GRANT,0,BR,in service,distribution,Y,N,11,single pole,0.000,93.09,100.000,58.690,150.000,0.9100,DS-000049413071,49413071,"",1996-09-19,1953-06-01,Y,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:23:36+10,9999-12-31 23:59:59+11,N,HBRA
1896,,LEILANI P4 ROBERTS,0,RWB,in service,distribution,Y,N,11,single pole,0.000,23.78,100.000,14.992,117.970,0.9100,DS-000049412999,49412999,"",1996-09-19,1985-10-01,N,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:49+11,9999-12-31 23:59:59+11,N,LBRA
2092,,DAMPIER EXFORD,0,RWB,in service,distribution,Y,N,11,kiosk/padmount,0.000,276.22,300.000,174.150,302.340,0.9100,DS-000049401259,49401259,"",1996-09-19,1989-10-01,Y,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:48+11,9999-12-31 23:59:59+11,N,LBRA
9025,,BUNGOWER MOOROODUC,0,RW,in service,distribution,Y,N,11,single pole,0.000,40.47,50.000,25.512,60.938,0.9100,DS-000050559302,50559302,"",1996-09-19,1974-06-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:10+10,9999-12-31 23:59:59+11,N,HBRA
2461,,COBB WOORALLA,0,BR,in service,distribution,Y,N,11,single pole,0.000,37.99,25.000,23.950,33.203,0.9100,DS-000050559332,50559332,"",1996-09-19,1981-12-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:22:41+10,9999-12-31 23:59:59+11,N,HBRA
2515,,MOORDUC P150 BUNGWR,0,RW,in service,distribution,Y,N,11,single pole,0.000,17.05,25.000,10.752,31.055,0.9100,DS-000050559308,50559308,"",1996-09-19,1979-08-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:23:28+10,9999-12-31 23:59:59+11,N,HBRA
2544,,OAKBANK NEPEAN,0,RWB,in service,distribution,Y,N,11,single pole,0.000,68.41,100.000,42.752,56.641,0.9020,DS-000049401283,49401283,"",2002-01-29,1963-01-01,Y,separate HV and LV,2021-02-20 02:10:40+11,2021-02-20 02:10:40+11,2021-02-18 22:30:31+11,9999-12-31 23:59:59+11,N,HBRA
4540,,PINECLIFF 2 SUNNYSIDE,0,RWB,in service,distribution,Y,N,11,kiosk/padmount,0.000,39.77,100.000,24.576,140.630,0.8920,DS-000114333811,114333811,"",1999-03-22,1976-06-01,N,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:42:49+11,9999-12-31 23:59:59+11,N,HBRA
2731,,TERRIGAL BUNGOWER,0,RWB,in service,distribution,Y,N,11,single pole,0.000,84.60,100.000,53.340,116.410,0.9100,DS-000049401253,49401253,"",1996-09-19,1981-09-01,Y,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:48+11,9999-12-31 23:59:59+11,N,LBRA
3181,,GOLF CLUB MORNINGTON,0,RWB,in service,distribution,Y,N,11,single pole,0.000,0.00,100.000,88.000,117.000,0.0000,DS-000049389390,49389390,"",1996-09-19,1964-01-01,N,separate HV and LV,2019-02-13 18:45:08+11,2018-03-11 09:50:58+11,2018-03-09 09:06:21+11,9999-12-31 23:59:59+11,N,LBRA
4910,,TALLIS BARKLY,0,RWB,in service,distribution,Y,N,11,single pole,0.000,192.61,200.000,121.430,232.810,0.9100,DS-000049389378,49389378,"",1996-09-19,1974-01-01,Y,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:46+11,9999-12-31 23:59:59+11,N,LBRA
3602,,BUNGOWER ROBERTS,0,RW,in service,distribution,Y,N,11,single pole,0.000,30.38,50.000,19.152,75.000,0.9100,DS-000049413047,49413047,"",1996-09-19,1978-06-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:18+10,9999-12-31 23:59:59+11,N,HBRA
3781,,COBB NEPEAN,0,RWB,in service,distribution,Y,N,11,single pole,0.000,16.91,300.000,10.662,450.000,0.9100,DS-000049413077,49413077,"",1996-09-19,1977-06-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:22:51+10,9999-12-31 23:59:59+11,N,HBRA
10068,,ROBERTS L3 MTN TYABB,0,RWB,in service,distribution,Y,N,11,single pole,0.000,10.51,25.000,6.626,37.500,0.9100,DS-000049412933,49412933,"",1996-09-19,1987-10-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:23:57+10,9999-12-31 23:59:59+11,N,HBRA
3847,,HILLPARK OBOE,0,RWB,in service,distribution,Y,N,11,kiosk/padmount,0.000,147.93,300.000,93.265,304.690,0.9100,DS-000049401295,49401295,"",1996-09-25,1991-03-01,Y,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:48+11,9999-12-31 23:59:59+11,N,LBRA
3982,,ROBERTS L6 MTN TYABB,0,RWB,in service,distribution,Y,N,11,single pole,0.000,18.18,25.000,11.461,30.273,0.9100,DS-000049412927,49412927,"",1996-09-19,1985-08-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:59+10,9999-12-31 23:59:59+11,N,HBRA
10542,,SHOTTON NEPEAN,0,RWB,in service,distribution,Y,N,11,single pole,0.000,117.45,100.000,73.480,150.000,0.9030,DS-000049401301,49401301,"",1996-09-19,1969-01-01,Y,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:12+10,9999-12-31 23:59:59+11,N,HBRA
4525,,ROBERTS P4 BUNGOWER,0,BR,in service,distribution,Y,N,11,single pole,0.000,33.57,25.000,21.162,30.469,0.9100,DS-000049412975,49412975,"",1996-09-19,1983-09-01,N,Unknown,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:23:36+10,9999-12-31 23:59:59+11,N,LBRA
10808,,BUNGOWER BALCOMBE,0,WB,in service,distribution,Y,N,11,single pole,0.000,31.62,10.000,19.938,14.063,0.9100,DS-000049413053,49413053,"",1996-09-19,1981-09-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:23:37+10,9999-12-31 23:59:59+11,N,HBRA
4829,,PADUA COLLEGE OAKBANK,0,RWB,in service,distribution,Y,N,11,kiosk/padmount,0.000,821.29,1000.000,569.010,1039.100,1.0000,DS-000121611628,121611628,"",2004-08-16,2018-07-01,Y,,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:42:58+11,9999-12-31 23:59:59+11,N,LBRA
3403,,MORELL HERBERT,0,RWB,in service,distribution,Y,N,11,single pole,0.000,461.06,500.000,290.050,406.050,0.9080,DS-000076956545,76956545,"",1996-09-19,1989-02-01,Y,separate HV and LV,2019-12-09 12:07:57+11,2019-12-09 12:07:57+11,2019-12-08 19:59:55+11,9999-12-31 23:59:59+11,N,LBRA
11234,,ROBERTS L12 BUNGOWER,0,RW,in service,distribution,Y,N,11,single pole,0.000,39.40,25.000,24.838,37.500,0.9100,DS-000049412939,49412939,"",1996-09-19,1984-02-01,N,Unknown,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:23:13+10,9999-12-31 23:59:59+11,N,LBRA
11397,,LEILANI P5 ROBERTS,0,RW,in service,distribution,Y,N,11,single pole,0.000,26.41,25.000,16.650,37.500,0.9100,DS-000049413005,49413005,"",1996-09-19,1985-10-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:49+10,9999-12-31 23:59:59+11,N,LBRA
11860,,BUNGOWER BALDOCK,0,RWB,in service,distribution,Y,N,11,single pole,0.000,55.64,50.000,35.080,75.000,0.9100,DS-000049413023,49413023,"",1996-09-19,1978-01-01,N,separate HV and LV,2022-06-11 02:31:24+10,2022-06-11 02:31:24+10,2022-06-11 00:00:00+10,9999-12-31 23:59:59+11,N,LBRA
12200,,GOLF CLUB PUMP MTN,0,RWB,in service,distribution,Y,N,11,single pole,0.000,17.38,63.000,10.718,79.734,0.8900,DS-000049401277,49401277,"",1996-09-19,1969-06-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:42+10,9999-12-31 23:59:59+11,N,LBRA
12483,,SUNNYSIDE 1 NEPEAN,0,RWB,in service,distribution,Y,N,11,single pole,0.000,17.25,50.000,10.852,74.609,0.9080,DS-000109513308,109513308,"",1997-03-12,1996-03-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:32+10,9999-12-31 23:59:59+11,N,HBRA
12593,,SUNNYSIDE 3 NEPEAN,0,RWB,in service,distribution,Y,N,11,single pole,0.000,96.42,315.000,59.456,472.500,0.8900,DS-000125135229,125135229,"",2006-07-25,2005-07-01,N,,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:39+10,9999-12-31 23:59:59+11,N,HBRA
13216,,ROBERTS P15 MTNTYABB,0,BR,in service,distribution,Y,N,11,single pole,0.000,29.70,25.000,18.726,37.500,0.9100,DS-000049412909,49412909,"",1996-09-19,1984-10-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:38+10,9999-12-31 23:59:59+11,N,HBRA
13234,,MOORDUC P146 BUNGOWR,0,BR,in service,distribution,Y,N,11,single pole,0.000,18.09,10.000,11.402,15.000,0.9100,DS-000050559314,50559314,"",1996-09-19,1984-05-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:22:41+10,9999-12-31 23:59:59+11,N,HBRA
6055,,RETIRE COBB,0,RWB,in service,distribution,Y,N,11,single pole,0.000,317.95,300.000,218.080,351.560,0.9900,DS-000124555456,124555456,"",2006-04-20,2005-04-01,N,,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:43:00+11,9999-12-31 23:59:59+11,N,HBRA
6263,,KALIMNA ESPLANADE,0,RWB,in service,distribution,Y,N,11,single pole,0.000,419.20,200.000,264.000,215.620,0.9090,DS-000089940033,89940033,"",1996-09-19,1938-01-01,Y,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:42:42+11,9999-12-31 23:59:59+11,N,LBRA
6305,,LEILANI P3 ROBERTS,0,RW,in service,distribution,Y,N,11,single pole,0.000,25.38,25.000,15.998,37.500,0.9100,DS-000049412993,49412993,"",1996-09-19,1985-10-01,N,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:49+11,9999-12-31 23:59:59+11,N,LBRA
6559,,PADUA SOVEREIGN,0,RWB,in service,distribution,Y,N,11,kiosk/padmount,0.000,223.06,500.000,140.634,297.656,0.9100,DS-000049401307,49401307,"",1996-09-19,2022-05-01,Y,separate HV and LV,2022-06-08 02:46:32+10,2022-06-08 02:46:32+10,2022-06-07 21:31:10+10,9999-12-31 23:59:59+11,N,LBRA
7084,,ROBERTS L13 BUNGOWER,0,RWB,in service,distribution,Y,N,11,single pole,0.000,18.55,10.000,11.692,13.047,0.9100,DS-000109528130,109528130,"",1998-10-29,1997-10-01,N,,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:42:46+11,9999-12-31 23:59:59+11,N,HBRA
7974,,HOMEMAKER NEPEAN,0,RWB,in service,distribution,Y,N,11,indoor,0.000,1467.90,1000.000,988.500,1054.700,0.9720,DS-000049401229,49401229,"",1996-09-19,1974-01-01,Y,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:48+11,9999-12-31 23:59:59+11,N,LBRA
8026,,CHANNEL BELEURA,0,RWB,in service,distribution,Y,N,11,single pole,0.000,539.30,315.000,340.010,361.760,0.9100,DS-000049389366,49389366,"",1996-09-19,1963-01-01,Y,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:46+11,9999-12-31 23:59:59+11,N,LBRA
8318,,ILLOWA TARANNA,0,RWB,in service,distribution,Y,N,11,single pole,0.000,169.77,200.000,107.030,235.940,0.9100,DS-000049389348,49389348,"",1996-09-19,1969-06-01,Y,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:46+11,9999-12-31 23:59:59+11,N,LBRA
8414,,BATA NEPEAN,0,RWB,in service,distribution,Y,N,11,ground,0.000,417.97,1000.000,253.960,1148.400,0.8770,DS-000049401289,49401289,"",1996-09-19,1967-06-01,Y,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:48+11,9999-12-31 23:59:59+11,N,LBRA
8539,,INGLIS BUTLER,0,RWB,in service,distribution,Y,N,11,single pole,0.000,273.64,200.000,172.520,234.370,0.9100,DS-000049389372,49389372,"",1996-09-19,1958-06-01,Y,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:46+11,9999-12-31 23:59:59+11,N,LBRA
8890,,EXFORD PARWAN,0,RWB,in service,distribution,Y,N,11,kiosk/padmount,0.000,279.90,500.000,176.466,302.344,0.9100,DS-000049401247,49401247,"",1996-09-19,1977-01-01,Y,separate HV and LV,2022-12-16 02:48:29+11,2022-12-16 02:48:29+11,2022-12-15 20:15:51+11,9999-12-31 23:59:59+11,N,LBRA
8915,,WARNER TALLIS,0,RWB,in service,distribution,Y,N,11,single pole,0.000,140.92,100.000,88.842,114.060,0.9100,DS-000049389342,49389342,"",1996-09-19,1978-06-01,Y,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:46+11,9999-12-31 23:59:59+11,N,LBRA
5242,,ROBERTS P10 BUNGOWER,0,RWB,in service,distribution,Y,N,11,single pole,0.000,58.87,100.000,36.544,150.000,0.8960,DS-000088994659,88994659,"",1996-09-19,1980-12-01,N,separate HV and LV,2022-06-11 02:31:24+10,2022-06-11 02:31:24+10,2022-06-11 00:00:00+10,9999-12-31 23:59:59+11,N,LBRA
9099,,PINECLIFF 1 SUNNYSIDE,0,RWB,in service,distribution,Y,N,11,kiosk/padmount,0.000,115.83,100.000,71.424,122.660,0.8900,DS-000114333805,114333805,"",1999-03-22,1932-06-01,N,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:42:49+11,9999-12-31 23:59:59+11,N,HBRA
9760,,SRWSC SHOTTON,0,RWB,in service,distribution,Y,N,11,ground,0.000,1020.90,1000.000,-564.450,1500.000,-0.7980,DS-000088994622,88994622,"",1996-09-19,1978-01-01,N,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:42:41+11,9999-12-31 23:59:59+11,N,HBRA
11198,,CARAVAN PK BUNGOWER,0,RWB,in service,distribution,Y,N,11,single pole,0.000,320.50,200.000,197.620,220.310,0.8900,DS-000049401265,49401265,"",1996-09-19,1982-01-01,N,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:48+11,9999-12-31 23:59:59+11,N,LBRA
11406,,NEPEAN P167 BUNGOWER,0,RWB,in service,distribution,Y,N,11,kiosk/padmount,0.000,359.81,750.000,222.110,972.660,0.8910,DS-000049401241,49401241,"",2002-02-18,1984-11-01,Y,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:48+11,9999-12-31 23:59:59+11,N,LBRA
12171,,ROBERTS P18 MTNTYABB,0,RWB,in service,distribution,Y,N,11,single pole,0.000,52.26,25.000,32.474,33.594,0.8970,DS-000049412903,49412903,"",1996-09-19,1984-07-01,N,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:49+11,9999-12-31 23:59:59+11,N,HBRA
12196,,ROBERTS P9 MTN TYABB,0,RWB,in service,distribution,Y,N,11,single pole,0.000,72.05,100.000,45.426,129.690,0.9100,DS-000049412981,49412981,"",1996-09-19,1983-01-01,N,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:41:49+11,9999-12-31 23:59:59+11,N,HBRA
12326,,BUNGOWER RACECOURSE,0,RWB,in service,distribution,Y,N,11,single pole,0.000,955.58,315.000,590.540,472.500,0.8920,DS-000049401271,49401271,"",1996-09-19,1986-03-01,N,separate HV and LV,2022-06-11 02:31:24+10,2022-06-11 02:31:24+10,2022-06-11 00:00:00+10,9999-12-31 23:59:59+11,N,LBRA
12579,,BARKLY BATH,0,RWB,in service,distribution,Y,N,11,single pole,0.000,315.13,315.000,198.460,381.450,0.9090,DS-000127052311,127052311,"",2007-10-11,2006-10-01,Y,,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:43:03+11,9999-12-31 23:59:59+11,N,LBRA
9655,,BALDOCK SYMONS,0,RWB,in service,distribution,Y,N,11,single pole,0.000,0.00,50.000,6.000,75.000,0.0000,DS-000049413035,49413035,"",1996-09-19,1978-01-01,N,separate HV and LV,2018-11-30 00:18:05+11,2018-09-19 09:16:28+10,2018-09-19 02:00:37+10,9999-12-31 23:59:59+11,N,HBRA
12260,,GRANT COBB,0,BR,in service,distribution,Y,N,11,single pole,0.000,60.39,25.000,38.074,37.500,0.9100,DS-000050559320,50559320,"",1996-09-19,1981-12-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:31+10,9999-12-31 23:59:59+11,N,HBRA
13318,,BALDOCK BUNGOWER,0,BR,in service,distribution,Y,N,11,single pole,0.000,50.15,50.000,31.618,75.000,0.9100,DS-000049413041,49413041,"",1996-09-19,1978-06-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:58+10,9999-12-31 23:59:59+11,N,HBRA
14534,,RETIREMENT BUNGOWER,0,RWB,in service,distribution,Y,N,11,kiosk/padmount,0.000,0.00,1000.000,0.000,0.000,0.0000,DS-000130819258,130819258,"",2011-11-15,2010-11-01,N,,2022-06-11 02:31:24+10,2022-06-11 02:31:24+10,2022-06-11 00:00:00+10,9999-12-31 23:59:59+11,N,LBRA
11682,,ROBERTS P12 MTNTYABB,0,RWB,in service,distribution,Y,N,11,single pole,0.000,91.02,50.000,56.126,69.922,0.8900,DS-000049412951,49412951,"",1996-09-19,1984-10-01,N,separate HV and LV,2022-06-11 02:31:24+10,2022-06-11 02:31:24+10,2022-06-11 00:00:00+10,9999-12-31 23:59:59+11,N,LBRA
14795,,SILVERWOOD WOODHAVEN,0,unknown,in service,distribution,Y,N,11,kiosk/padmount,0.000,10.96,500.000,-6.912,675.780,-0.9100,DS-000148049604,148049604,"",1996-09-07,2018-09-01,N,,2022-06-11 02:31:24+10,2022-06-11 02:31:24+10,2022-06-11 00:00:00+10,9999-12-31 23:59:59+11,N,LBRA
4427,,PINECLIFF SUNNYSIDE,0,RWB,in service,distribution,Y,N,11,kiosk/padmount,0.000,0.00,315.000,0.000,0.000,0.0000,DS-000125202536,125202536,"",2006-09-05,2005-09-01,N,,2019-02-13 18:45:08+11,2018-03-11 09:50:58+11,2018-03-09 09:07:00+11,9999-12-31 23:59:59+11,N,HBRA
12235,,RACECOURSE 1 BUNGOWER,0,RWB,in service,distribution,Y,N,11,kiosk/padmount,0.000,0.00,1000.000,123.000,1078.000,0.0000,DS-000129529349,129529349,"",2010-07-13,2009-07-01,N,,2019-02-13 18:45:08+11,2018-03-11 09:50:58+11,2018-03-09 09:07:04+11,9999-12-31 23:59:59+11,N,LBRA
1016,,NEPEAN THOMAS,0,RWB,in service,distribution,Y,N,11,single pole,0.000,96.59,100.000,60.895,115.630,0.9100,DS-000049389336,49389336,"",1996-09-19,1970-01-01,Y,separate HV and LV,2022-04-27 02:56:10+10,2022-04-27 02:56:10+10,2022-04-22 17:52:36+10,9999-12-31 23:59:59+11,N,LBRA
8403,,CARAAR CREEK N57 KALIMNA,0,RWB,in service,distribution,Y,N,11,kiosk/padmount,0.000,96.10,315.000,59.324,442.970,0.8910,DS-000127429032,127429032,"",2008-04-07,2007-04-01,Y,,2022-04-27 02:56:10+10,2022-04-27 02:56:10+10,2022-04-22 17:53:41+10,9999-12-31 23:59:59+11,N,LBRA
